f_len,f_entropy,f_digit_ratio,f_vowel_ratio,f_unique_ratio,f_cons_run_mean
9.0,2.4193819456463714,0.0,0.4444444444444444,0.6666666666666666,1.25
11.0,2.8453509366224363,0.0,0.45454545454545453,0.7272727272727273,1.2
9.0,2.4193819456463714,0.0,0.4444444444444444,0.6666666666666666,1.25
21.0,3.916126946588284,0.23809523809523808,0.375,0.7619047619047619,1.6666666666666667
25.0,4.133660689688186,0.04,0.20833333333333334,0.76,3.1666666666666665
21.0,3.6897037321995465,0.3333333333333333,0.14285714285714285,0.6666666666666666,4.0
12.0,3.188721875540867,0.0,0.5,0.8333333333333334,1.0
20.0,3.9841837197791894,0.25,0.26666666666666666,0.85,2.75
18.0,3.94770277922009,0.3333333333333333,0.4166666666666667,0.8888888888888888,1.75
12.0,3.188721875540867,0.0,0.5,0.8333333333333334,1.0
9.0,3.169925001442312,0.0,0.3333333333333333,1.0,1.5
20.0,3.9219280948873627,0.25,0.06666666666666667,0.8,7.0
24.0,4.053508854797678,0.25,0.16666666666666666,0.75,3.75
12.0,2.8553885422075336,0.0,0.3333333333333333,0.6666666666666666,1.6
20.0,3.8841837197791893,0.2,0.25,0.8,2.4
20.0,3.7841837197791888,0.25,0.3333333333333333,0.75,2.5
9.0,2.5032583347756456,0.0,0.4444444444444444,0.6666666666666666,1.25
28.0,4.164497779200461,0.2857142857142857,0.25,0.7142857142857143,3.75
12.0,2.8553885422075336,0.0,0.3333333333333333,0.6666666666666666,1.6
9.0,3.169925001442312,0.0,0.3333333333333333,1.0,1.5
18.0,3.6835423624332306,0.1111111111111111,0.125,0.7777777777777778,4.666666666666667
9.0,3.169925001442312,0.0,0.3333333333333333,1.0,1.5
26.0,3.7962176025900565,0.15384615384615385,0.18181818181818182,0.6538461538461539,3.6
9.0,2.5032583347756456,0.0,0.4444444444444444,0.6666666666666666,1.25
12.0,3.188721875540867,0.0,0.5,0.8333333333333334,1.0
9.0,3.169925001442312,0.0,0.3333333333333333,1.0,1.5
12.0,2.8553885422075336,0.0,0.3333333333333333,0.6666666666666666,1.6
9.0,2.4193819456463714,0.0,0.4444444444444444,0.6666666666666666,1.25
27.0,4.2824842613426,0.2222222222222222,0.19047619047619047,0.7777777777777778,3.4
24.0,4.136842188131011,0.25,0.2222222222222222,0.7916666666666666,2.8
9.0,2.5032583347756456,0.0,0.4444444444444444,0.6666666666666666,1.25
9.0,3.169925001442312,0.0,0.3333333333333333,1.0,1.5
9.0,3.169925001442312,0.0,0.3333333333333333,1.0,1.5
12.0,2.8553885422075336,0.0,0.3333333333333333,0.6666666666666666,1.6
19.0,3.6818808028034016,0.2631578947368421,0.21428571428571427,0.7368421052631579,3.6666666666666665
26.0,3.95006375643621,0.4230769230769231,0.4666666666666667,0.6538461538461539,1.3333333333333333
19.0,3.6163485660751635,0.15789473684210525,0.125,0.6842105263157895,4.666666666666667
22.0,3.8453509366224363,0.36363636363636365,0.07142857142857142,0.7272727272727273,6.5
20.0,4.1219280948873624,0.15,0.29411764705882354,0.9,4.0
9.0,2.5032583347756456,0.0,0.4444444444444444,0.6666666666666666,1.25
9.0,2.4193819456463714,0.0,0.4444444444444444,0.6666666666666666,1.25
20.0,3.8841837197791893,0.3,0.21428571428571427,0.8,3.6666666666666665
11.0,2.8453509366224363,0.0,0.45454545454545453,0.7272727272727273,1.2
9.0,3.169925001442312,0.0,0.3333333333333333,1.0,1.5
28.0,4.012188403968661,0.14285714285714285,0.20833333333333334,0.6428571428571429,3.8
22.0,4.0614821867207755,0.22727272727272727,0.29411764705882354,0.8181818181818182,2.4
9.0,2.4193819456463714,0.0,0.4444444444444444,0.6666666666666666,1.25
9.0,3.169925001442312,0.0,0.3333333333333333,1.0,1.5
23.0,4.088779347361361,0.391304347826087,0.35714285714285715,0.782608695652174,2.25
11.0,2.8453509366224363,0.0,0.45454545454545453,0.7272727272727273,1.2
22.0,4.004886164091843,0.09090909090909091,0.2,0.7727272727272727,4.0
28.0,4.351823225551767,0.32142857142857145,0.2631578947368421,0.7857142857142857,2.8
9.0,2.4193819456463714,0.0,0.4444444444444444,0.6666666666666666,1.25
22.0,4.186704345910024,0.13636363636363635,0.3157894736842105,0.8636363636363636,2.1666666666666665
26.0,3.9312089489103226,0.2692307692307692,0.2631578947368421,0.6538461538461539,2.8
9.0,3.169925001442312,0.0,0.3333333333333333,1.0,1.5
18.0,3.6835423624332306,0.2777777777777778,0.3076923076923077,0.7777777777777778,3.0
12.0,2.8553885422075336,0.0,0.3333333333333333,0.6666666666666666,1.6
